Company Name,Manufacturer/Supplier,Category,Specialty,MOQ,Website,Used By,Email,Phone Number,Country of Origin
Calvi,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear & Children",,https://www.confeccoescalvi.pt,Available Upon Request,geral@confeccoescalvi.pt,(+351) 253 587 028,Portugal
Etfor,Manufacturer,Knitwear,"Womenswear, Menswear & Children",,https://etfor.com/,Available Upon Request,info@etfor.com,(+351) 253 879 000,Portugal
Belfama,Manufacturer,French Terry & Baby Terry,Home & Hospitality Textiles,,https://belfama.com/,Available Upon Request,info@belfama.com,(+351) 253 560 450,Portugal
"Têxteis Penedo, SA.",Manufacturer,Jacquard,Home & Hospitality Textiles,,https://tpenedo.pt,Available Upon Request,geral@tpenedo.pt,(+351) 253 422 300,Portugal
TMG Group,Manufacturer/Supplier,All,"Womenswear, Menswear & Children",,https://www.tmg.pt/,Available Upon Request,Web Form,Pending,Portugal
Calvelex,Manufacturer/Supplier,"Knits, Wovens & Formalwear",Womenswear & Menswear,,https://www.calvelex.com/,Available Upon Request,calvelex@calvelex.com,(+351) 255 880 320,Portugal
Givachoice Garments,Manufacturer,Knitted & Wovens,Womenswear,,https://givachoice.com,Available Upon Request,geral@givachoice.com,(+351) 255 892 766,Portugal
Mazoni,Manufacturer,Footwear (Shoes),"Womenswear, Menswear & Children",,https://www.mazoni.pt/,Available Upon Request,info@mazoni.pt,(+351) 255 310 980,Portugal
Isi Soles,Manufacturer,Footwear (Shoes) - Outsoles,"Womenswear, Menswear & Children",,https://isisoles.eu,Available Upon Request,isi@isisoles.com,(+351) 255 313 845,Portugal
Carité,Manufacturer,Footwear (Shoes),Womenswear & Menswear,,http://www.carite.pt/,Adidas,info@carite.pt,(+351) 255 310 660,Portugal
Kajur Shoes,Manufacturer,Footwear (Shoes),"Womenswear, Menswear & Children",,https://kajur.pt/,Available Upon Request,emilia.sousa@kajur.pt / emilia.exportacao@kajur.pt,(+351) 255 314 716,Portugal
A&R Pontes,Manufacturer,Footwear (Shoes),Womenswear & Menswear,,https://www.arpontes.com/,Available Upon Request,info@arpontes.com,(+351) 253 520 040,Portugal
Claudifel Shoes,Manufacturer,Footwear (Shoes),"Womenswear, Menswear & Children",,https://www.claudifelshoes.com/,Available Upon Request,geral@claudifelshoes.com,(+351) 255 310 450,Portugal
Chang Shin,Manufacturer,Footwear (Shoes),"Womenswear, Menswear & Children",,http://www.changshininc.com,Nike,Web Form,051 960 8800,Vietnam & China
Un-Available,Manufacturer,All,"Womenswear, Menswear & Children",,https://www.un-available.net,"Palace, Stussy, Daily Paper, Patta, Brain Dead, Aimé Leon Dore, Kith & Golf Wang",tu.le@un-available.net,329997404,Vietnam
Maxport LTD,Manufacturer,Outerwear & Activewear,"Womenswear, Menswear & Children",,http://maxportlimited.com/,"Nike, Off-White, Supreme, Gymshark, Arcteryx & Kathmandu",Web Form,(+84) 0243 558 0941,Vietnam
NOBLAND,Manufacturer/Supplier,Knitwear & Wovens,"Womenswear, Menswear & Children",,http://www.nobland.com/,"Kith, Levis & Gap",info@nobland.com,(+82) 2 405 5700,Vietnam & South Korea
Inqube,Manufacturer,"Knitwear, Wovens & Activewear","Womenswear, Menswear & Children",,https://www.inqube.com/,"Uniqlo, Lululemon, Victoria Secret & Gap",info@inqube.com,(+94) 11 755 5444,Sri Lanka
Ever-Glory Interantional Group Apparel,Manufacturer,All,Womenswear & Menswear,,http://www.ever-glory.com/,Carhatt & Guess,jack_sun@ever-glory.com,Pending,Vietnam
Rainbow Textile,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear, Children & Home",,https://rainbowtextile.com/,Carhatt & Under Armour,Web Form,(+92) 21-36952951,Pakistan
Wan-Fung,Manufacturer/Supplier,All,Womenswear & Menswear,,http://www.wan-fung.com,"Ralph Lauren, Alexander Wang, DKNY, Versace, Calvin Klein, Christian Dior & Armani",admin@wang-fung.com,(852) 2753 1338,China & Italy
PT SINGA GLOBAL TEKSTIL (NIRWANA GROUP),Supplier,Jersey Knitwear,"Womenswear, Menswear & Children",,https://nirwanagroup.co.id/en/,"Gap, Avirex, Forever 21, Hush Puppies, H&M",info@nirwanagroup.co.id,(+62) 22 85962076 / (+62) 22 85962081,Indonesia
PT. Kharisma Lestari Jaya,Manufacturer,"Jeans, Medical Uniform & Workwear","Womenswear, Menswear & Children",,https://kharismagarmindo.com,"Nevada, ECKO, Diesel, Ralph Lauren & Armani Exchange",info@kharismagarmindo.com/nicholaspradana@gmail.com/ joe88.kharisma@gmail.com,(+62) 813 2199 8888 / 0812 2226 1977,Indonesia
Gamatex,Supplier,Denim,"Womenswear, Menswear & Children",,https://gamatex.co.id/,Kharisma Garmindo,marketing@gamatex.co.id/defri@gamatex.co.id,(+62) 22 603 1360,Indonesia
Multatex Garment,Manufacturer,"Jersey Knit, Althleisure & Intimates","Womenswear, Menswear, Children & Baby",,https://multratexgarment.com/,Honda & Samsung,cs@multratexgarment.com,(+62) 811 225 2268,Indonesia
Hochang International,Manufacturer,Headwear,"Womenswear, Menswear & Children",,http://hochangcap.com/,"Palace, Von Dutch",hochangsite@hochangcap.com,(+82) 2 2668 6720,Vietnam & South Korea
TANDE,Manufacturer,Outerwear,"Womenswear, Menswear & Children",,https://www.tande.com.vn/,"North Face, Patagonia, Lululemon & Under Armour",info@tande.com.vn,(+84) 24 3858 3225,Vietnam
Fulgent Sun Group,Manufacturer,Footwear (Shoes),"Womenswear, Menswear & Children",,https://www.fulgentsun.com,"Converse, Vans, Hoka, Timberland & The North Face",Web Form,886 5 5514619,"Vietnam, Cambodia & Taiwan"
Sinwah,Manufacturer,Knitwear,"Womenswear, Menswear & Children",,https://sinwah.com/,"Juicy Couture, Tommy Hilfiger, Ralph Lauren & The North Face",info@sinwah.com,(+06) 951 7982,Vietnam & Malaysia
Style Textile,Manufacturer/Supplier,Knitwear & Activewear,"Womenswear, Menswear & Children",,http://www.styletextile.com,"Zara, Nike, Levis, Tommy Hilfiger, Victoria Secret, Adidas, Gap, Reebok & Calvin Klein",Web Form,(+92) 42 35123064,Pakistan
Invictus Fashion Group,Manufacturer,Jewelry,All,,https://www.invictusfashiongroup.org,"Chrome Hearts, Carnival, Hellstar & RIPNIP",Web Form,Web Form,Italy & Thailand
Four Star Garment & Textile Ltd.,Manufacturer/Supplier,"Knitwear, Wovens & Athleisure","Womenswear, Menswear & Children",,https://www.fourstar.co.th/,"Nike, Woolrich, Next & Von Dutch",thingjit@fourstar.co.th/juy@fourstar.co.th,(+66) 2 802 1323,Thailand
VT Garment,Manufacturer,Recycled Polyester,"Womenswear, Menswear & Children",,https://www.vtgarment.com/,"Patagonias, Adidas, Columbia & Mont-Bell",contact@vtgarment.com,(+66) 2 294 0921,Thailand & Myanmar
Pak Tak Knitting Factory Ltd,Manufacturer,"Knitwear, Cut & Sew","Womenswear, Menswear & Children",,https://ptkt.com.hk/,"Kith, Asos & Ralph Lauren",enquiry@ptkt.com.hk,852 2676 2882,"Hong Kong, China & Thailand"
Vanbestco. Ltd,Manufacturer,Footwear (Shoes),"Womenswear, Menswear & Children",,http://www.vanbestco.com,"Versace, Acne Studios, Brain Dead, Gant & Mont-Bell",info@vanbestco.com,(+886) 2 2758 1515,Taiwan
Reliable Source Industrial,Manufacturer,Activewear,"Womenswear, Menswear & Children",,https://www.rsiapparel.com/,"Gymshark, Arcteryx, Lululemon, Athleta & Under Armour",Web Form,Web Form,Taiwan
Knit Sources,Manufacturer,Knitwear (Sweaters),Womenswear,,https://knitsources.com/,"Maje, Sandro, Everlane, Zara, Armani, Ted Baker & All Saints",enquiry@knitsources.com.hk,Web Form,China
"Zhejiang Xinlan Textile Co., Ltd",Manufacturer/Supplier,Denim,Womenswear & Menswear,,http://www.xinlantextile.com/,Available Upon Request,jerry@xinlancn.com,0579-88132115,China
WFS Cashmere,Supplier,"Cashmere, Wool, Silk & Knits","Womenswear, Menswear, Children & Baby",,https://www.wfscashmere.com/,Available Upon Request,wfs808@wfscashmere.com,(+86) 0531 67880614,China
Sitoy Group,Manufacturer,"Handbags, Leather goods & Travel goods",Womenswear & Menswear,,https://www.sitoy.com/,Available Upon Request,cs@sitoyretailing.com,(852) 2345 0295,Hong Kong
Black Q,Manufacturer/Supplier,"Knitwear, Outerwear, Eveningwear, Denim & Wovens","Womenswear, Menswear & Children",,https://blackq.de,"Alexander McQueen, Casablanca, JW Anderson & Proenza Schouler",info@blackq.de,(+86) 573 899 917 59 / (+49) 177 623 7777,"China, Germany, Vietnam & Madagascar"
Eleven After Eleven,Manufacturer/Supplier,Skate Brands,"Womenswear, Menswear & Children",,https://www.elevenaftereleven.net/,"Palace, YardSale, Huf, Alltimers & Adidas",info@elevenaftereleven.net,(+852) 2881 1774,Hong Kong
Lever Style,Manufacturer,"Activewear, Athleisure","Womenswear, Menswear & Children",,https://www.leverstyle.com,"Spanx, Arcteryx, Helly Hanson & J.Lindeberg",info@leverstyle.com,Pending,Hong Kong
Pacific Jeans,Manufacturer,Jeans,"Womenswear, Menswear & Children",,https://www.pacificjeans.com/,"Zara, Uniqlo, H&M, Wrangler, Lee, American Eagle, ASOS, River Island & Mango",info@pacificjeans.com,(+880) 31-741006-8,Bangladesh
"Dangroup Production (Dangshang) Co., Ltd",Manufacturer,"Wovens, Dresses, Skirts, Pants & Outerwear","Womenswear, Menswear & Children",,https://www.dangroup.dk/,"Holzweiler, Saint Tropez & Modstrom",mina@dangroup.com.cn,(0086) 512 8295 2807,Denmark
Nantong Foremost Garments & Accessories,Manufacturer,Headwear,"Womenswear, Menswear & Children",25 pcs,https://www.foremosthat.com,"Carhartt, Supreme, The North Face & Palace",hat@4mostcaps.com,(+86) 513-85675888,China
Hangzhou EverSun Fashion,Manufacturer,Knitwear & Accessories,Womenswear & Menswear,,http://www.eversunfashion.com/,"Stussy, Zara, NEXT, Matalan & Forever 21",Web Form,13867454289,China & Myanmar
SC Fashion,Manufacturer/Supplier,"Silk, Viscose, Dresses",Womenswear,,https://www.scfashion.online/,"Stussy, All Saints, Ted Baker, Eileen Fisher & Coach",maria@scfashion.com,(+86) 136-644-0582,China & Netherlands
Echotex,Manufacturer,"Knitwear, Screenprinting","Womenswear, Menswear & Children",,https://www.echotex.com/,"Asos, Zara, Primark, H&M, Wax London, Bershka",Web Form,(+880) 2-988-1717,Bangladesh
Urmi Group,Manufacturer,Knitwear,"Womenswear, Menswear & Children",,https://urmigroup.com/,"Uniqlo, Puma, H&M, Marks & Spencer",Web Form,(+880) 2-883-7616,Bangladesh
Fakir Apparels,Manufacturer,"Outerwear, Active Wear","Womenswear, Menswear & Children",,https://fakirapparels.com,"Zara, H&M, Primark, Next & Mango",info@fakirapparels.com,(+880) 299-774-6660,Bangladesh
Snowtex Group,Manufacturer,"Work Wear, Safetly, Outerwear & Active Wear","Womenswear, Menswear & Children",,http://snowtex.com.bd/,"Columbia, Decathalon & Alphabroder",info@snowtex.org,(+880) 177-733-5242,Bangladesh
Anis Apparel,Manufacturer,Knitwear,Womenswear & Menswear,,https://www.anisapparel.com/,"Inditex, Mango, Bershka, New Look, Pull & Bear",Web Form,(+021) 3512-1208,Pakistan
ADM Denim,Supplier,Denim,"Womenswear, Menswear & Children",,https://www.admdenim.com/,Available Upon Request,sales@admdenim.com,(+92) 21 111-236-236,Pakistan
United Garments,Manufacturer/Supplier,"Knitwear, Wovens & Denim","Womenswear, Menswear & Children",,https://unitedgarments.com/,"Selfridges, Next & River Island",owais_khan@unitedgarments.com,(+92) 21 325-9500-4,Pakistan
Nishat Apparel,Manufacturer,Denim & Twill,"Womenswear, Menswear & Children",,https://nishatapparel.com.pk/,"Primark, Lyle & Scott & US Polo Assn.",info@nishatmills.com,Pending,Pakistan
Siddiqsons Limited,Manufacturer/Supplier,Knitwear & Denim,"Womenswear, Menswear, Children & Home",,https://www.thesiddiqsonsgroup.com/,Available Upon Request,info@siddiqsonsgroup.com,(+92) 21-35166522-4,Pakistan
AZ Apparel,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear & Children",,https://azapparel.com/,"Zara, Mango, Bershka, Misguided & Playboy",myasir@azapparel.com,(+92) 41-8768102-5,Pakistan
Lahore Fashions,Manufacturer/Supplier,Knitwear & Activewear,"Womenswear, Menswear & Children",,https://lahorefashions.com/,"Next, Mango, Fat Face, Dunnes, JD & Topman",info@lahorefashions.com,(+92) 41-8758801-3,Pakistan
Klash,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear & Children",,http://www.klashclothing.com,"M&S, Next, Primark & American Eagle",colin@klashclothing.com,(+92) 41-876-7828,Pakistan
Interloop,Manufacturer,Knitwear & Seamless,"Womenswear, Menswear & Children",,https://interloop-pk.com/,"Gymshark, Uniqlo, Hugo Boss, New Balance, Zara, Levis, Nike & Levis",corporatecommunication@interloop.com.pk,(+92) 41-4360400,Pakistan
Masood,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear & Children",,https://masoodtextile.com/,"Tommy Hilfiger, Gymshark, Ferrari, Adidas, DC, Mango, Kappa, Quiksilver, Pull & Bear",waqasahmad@mtmho.com,(+92) 41-2600176,Pakistan
Image Garments,Manufacturer,Knitwear,"Womenswear, Menswear & Children",,https://www.imagegarments.com/,Available Upon Request,inquiries@imagegarments.com,(+92) 41-8779792,Pakistan
Delta Garments,Manufacturer,Denim & Twill,"Womenswear, Menswear & Children",,https://www.deltagarments.com.pk/,"Finish Line, PLT, Footasylum, Lee Cooper, Primark, Next & JD",Web Form,Web Form,Pakistan
Beacon Impex,Manufacturer,"Jersey Knit, Althleisure & Intimates","Womenswear, Menswear & Children",,https://beaconinpex.com/,"Pull & Bear, Puma & Head",info@beaconimpex.com,(+92) 41-2605076,Pakistan
Bills Inc,Manufacturer/Supplier,"Knitwear, Headwear & Denim","Womenswear, Menswear & Children",,http://www.bills-inc.com/,"Levis, Russell & Wrangler",sales@bills-inc.pk,(+92) 302-8231155,Pakistan
Artistic Apparels,Manufacturer,Jeans,"Womenswear, Menswear & Children",,https://artisticapparels.com/,"H&M, Zara, Next, New Look, Mango & River Island",info@artisticapparels.com,(+92) 21 111 786 135,Pakistan
Soorty,Manufacturer/Supplier,Denim,"Womenswear, Menswear & Children",,https://soorty.com,Available Upon Request,contactus@soorty.com,(+92) 213 870 9084,Pakistan & Bangladesh
Rajby Textiles,Manufacturer/Supplier,Denim,"Womenswear, Menswear & Children",,https://rajbytextiles.com/,"H&M, Next, George etc.",info@rajbytextiles.com,(+92) 21 35001671-79,Pakistan
Crystal International Group Ltd.,Manufacturer,"Jersey Knit, Althleisure, Intimates, Outdoor apparel & Denim",Womenswear & Menswear,,https://www.crystalgroup.com/,"GAP, Uniqlo, Victoria Secret etc.",info@crystalgroup.com,(+852) 2261 8888,"Hong Kong, Vietnam, China, Cambodia, Bangladesh & Sri Lanka"
Hop Lun,Manufacturer,Intimates & Swimwear,Womenswear,,https://www.hoplun.com/,Available Upon Request,enquiries@hoplun.com,(+852) 2359 9568,"Hong Kong, Bangladesh, China, Indonesia & Ethiopia"
Dakota Industrial CO. LTD.,Manufacturer/Supplier,"Knitwear, Athleisure & Swimwear","Womenswear, Menswear, Children's & Baby",,http://www.dakota.com.hk/,"H&M, Fila, Next & Ferrari",sales@dakota.com.hk,(+852) 2417 0768,Hong Kong
Kamfung Garment,Manufacturer/Supplier,"Knitwear, Outerwear & Pants",Womenswear & Menswear,,https://www.kamfung-garment.com.hk,"Givenchy, BAPE, Guess & Fila",merchand-1@kamfung-garment.com,(+852) 2466 6163,Hong Kong
TAL Apparel,Manufacturer,"Knitwear, Outerwear, Pants & Suits",Womenswear & Menswear,,https://www.talapparel.com/,Available Upon Request,info@talapparel.com,(+852) 2738 6211,Hong Kong & Vietnam
Epic Group,Manufacturer,Knitwear & Denim,Womenswear & Menswear,,https://www.epicgroup.global,"Uniqlo, Dunnes, Nautica, Dillards & Levis",info@epichk.com,(+852) 3512 0800,Hong Kong
Anata,Manufacturer,"Jersey Knit, Althleisure, Intimates, Outerwear, Denim & Suits",Womenswear & Menswear,,https://ananta-bd.com,"Tommy Hilfiger, Primark, Zara, H&M, River Island, Levis, GAP & Calvin Klein",info@ananta-bd.com,(+880) 963 866 6111,Bangladesh
Nova Palm Group,Manufacturer/Supplier,"Knitwear, Wovens, Sportswear, Outerwear, Dresses & Blouses","Womenswear, Menswear & Children",,https://www.novapalm.com,"H&M, Zara etc.",info@novapalm.com,(+852) 6533 1152,"Hong Kong, China, Myanmar, Bangladesh, Cambodia & Vietnam"
SBC Clothing,Manufacturer,"Knitwear, Pants",Womenswear & Menswear,,https://www.sbcclothing.hk,"Guess, Wrangler, Lee, River Island, Levis, CK & Vans",Barry@sbcclothing.hk & Samuel@sbcclothing.hk,(+852) 3689 5300,Hong Kong
Tada Knit,Manufacturer/Supplier,Denim,"Womenswear, Menswear & Children",,https://t-and-a-sewing-okayama.co.jp/.en/,"Purple Label North Face, Beams Japan and Nonnative",Web Form,0867-42-3778,Japan
Manifatture Mediterraneo,Manufacturer,Outerwear,Womenswear & Menswear,,https://www.manifatturemediterraneo.it/it/,Fendi & Giorgio Armani,Web Form,(+39) 0941 784264,Italy
Luxottica,Manufacturer/Supplier,Eyewear,Womenswear & Menswear,,https://www.luxottica.com/en/,"Chanel, Prada, Oakley, Ray-Ban, Burberry & Gucci",Web Form,Web Form,Italy
Sacchetti Maglierie,Manufacturer,Knitwear,Womenswear & Menswear,,https://sacchettimaglierie.it/en/home-eng/,Available Upon Request,info@sacchettimaglierie.it,(+39) 059 691557,Italy
Tessilechiti,Manufacturer,Knitwear & Wovens,All,,https://www.tessilechiti.it/?lang=en,Available Upon Request,info@tessilechiti.it,(+39) 0574 798719,Italy
Luxury Leather,Manufacturer,Leather Goods,Womenswear & Menswear,,https://www.luxuryleather.it,Available Upon Request,info@luxuryleather.it,Web Form,Italy
Zetabi Denim,Manufacturer,Denim,Womenswear & Menswear,,https://www.zetabidenim.it/en/,Acne Studios,amministrazione@zetabisrl.it,(+39) 071 9090217,Italy
Carvico,Manufacturer,"Activewear, Beachwear, Intimates & Footwear",Womenswear & Menswear,,https://www.carvico.com/en/,Gymshark & Shark,info@carvico.com,(+39) 035780111,Italy
Limonta,Manufacturer,"Leather Goods, Outerwear & Footwear",Womenswear & Menswear,,https://www.limonta.com/en/,"Louis Vuitton, Gucci & Prada",info@limonta.com,(+39) 031 857111,Italy
Belee Milano,Manufacturer,"Knitwear, Outerwear, Denim, Jersey & Leatherwear",Womenswear & Menswear,,https://www.beleemilano.com,Available Upon Request,info@beleemilano.com,(+39) 02 303104492,Italy
Canepa,Supplier,"Knitwear, Wovens, Silk, Linen & Synthetic Fabrics",Womenswear & Menswear,,http://www.canepa.it/,LVMH & Kering,info@canepa.it,(+39) 031 219111,Italy
Vitale Barberis Canonico,Manufacturer/Supplier,Wool,"Womenswear, Menswear, Children & Baby",,https://vitalebarberiscanonico.com/,Available Upon Request,info@vitalebarberiscanonico.it,(+39) 015 7388855,Italy
Albini Group,Supplier,All,"Womenswear, Menswear, Children & Baby",,https://www.albinigroup.com/en/,Available Upon Request,info@albinigroup.com,(+39) 035 777 111,Italy
Ratti,Supplier,All,"Womenswear, Menswear, Children, Baby & Home",,https://www.ratti.it/en,"Bikkembergs, Elie Saab, Givenchy, Léonard Paris, Piquadro & Ungaro",ratti@ratti.it,(+39) 031 35351,Italy
Clerici Tessuto,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear, Children, Baby & Home",,https://clericitessuto.it/en/,Available Upon Request,info@clericitessuto.it,(+39) 031 455 111,Italy
Martinelli Ginetto Group,Manufacturer/Supplier,All,"Womenswear, Menswear, Children, Baby & Home",,https://www.martinelliginettogroup.it/en/home.html,Available Upon Request,info@martinelliginettogroup.it,(+39) 035 725011,Italy
Manteco,Supplier,Wool,"Womenswear, Menswear, Children, Baby & Home",,https://manteco.com/,Upcoming brands,digital@manteco.com,(+39) 0574 6261,Italy
Canclini,Manufacturer,"Knitwear, Jacquard, Wool, Linen & Shirting","Womenswear, Menswear & Children",,https://www.canclini.it,Available Upon Request,info@canclini.it,(+39) 031 3527511,Italy
Archille Pinto,Manufacturer/Supplier,"Knitwear, Wovens, Silk, Linen & Synthetic Fabrics","Womenswear, Menswear & Children",,https://www.achillepinto.com/,Available Upon Request,info@achillepinto.com,(+39) 031 398611,Italy
Bonotto,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear & Children",,https://www.bonotto.biz/en,LVMH,bonotto@bonotto.com,(+39) 0424 411701,Italy
Piacenza 1733,Manufacturer/Supplier,Knitwear & Wovens,All,,https://www.piacenza1733.com,Available Upon Request,info@piacenza1733.com,(+39) 015 6191733,Italy
CAMI Confezioni,Manufacturer,Outerwear,All,,https://www.camiconfezioni.it/en,Available Upon Request,"info@camiconfezioni.it & 
martina@camiconfezioni.it",(+39) 0941 901957,Italy
Gianangeli,Manufacturer,Knitwear,Womenswear,,https://www.gianangeli.net,Available Upon Request,gianangeli@gianangeli.com,(+39) 075 6920193,Italy
